year,month,month_idx,people,kwh,cost_baht,kwh_per_person
2567,ม.ค.,1,95.0,16036.4,86917.29,168.8042
2567,ก.พ.,2,95.0,22663.6,122836.71,238.5642
2567,มี.ค.,3,95.0,34897.4,189143.91,367.3411
2567,เม.ย.,4,95.0,38465.8,208484.64,404.9032
2567,พ.ค.,5,95.0,37366.4,202525.89,393.3305
2567,มิ.ย.,6,95.0,37150.4,201355.17,391.0568
2567,ก.ค.,7,95.0,41176.0,223173.92,433.4316
2567,ส.ค.,8,95.0,37746.4,204585.49,397.3305
2567,ก.ย.,9,95.0,36835.0,199645.7,387.7368
2567,ต.ค.,10,95.0,32364.2,175413.96,340.6758
2567,พ.ย.,11,95.0,23816.0,129082.72,250.6947
2567,ธ.ค.,12,95.0,26628.8,144328.1,280.3032
2568,ม.ค.,1,95.0,17434.4,94494.45,183.52
2568,ก.พ.,2,95.0,24458.4,132564.53,257.4568
2568,มี.ค.,3,95.0,37355.2,202465.18,393.2126
2568,เม.ย.,4,95.0,36772.8,199308.58,387.0821
2568,พ.ค.,5,95.0,40243.2,218118.14,423.6126
2568,มิ.ย.,6,95.0,38310.4,207642.37,403.2674
2568,ก.ค.,7,95.0,39260.8,212793.54,413.2716
2568,ส.ค.,8,95.0,39360.0,213331.2,414.3158
2568,ก.ย.,9,95.0,41646.4,225723.49,438.3832
2568,ต.ค.,10,95.0,33204.8,179970.02,349.5242
2568,พ.ย.,11,95.0,31715.2,171896.38,333.8442
2568,ธ.ค.,12,95.0,23275.2,126151.58,245.0021
