year,month,month_idx,people,cubic_meter,cost_baht,m3_per_person
2567,ม.ค.,1,95.0,291.0,2328.0,3.0632
2567,ก.พ.,2,95.0,467.3,3738.4,4.9189
2567,มี.ค.,3,95.0,507.6,4060.8,5.3432
2567,เม.ย.,4,95.0,452.3,3618.4,4.7611
2567,พ.ค.,5,95.0,408.7,3269.6,4.3021
2567,มิ.ย.,6,95.0,369.0,2952.0,3.8842
2567,ก.ค.,7,95.0,462.1,3696.8,4.8642
2567,ส.ค.,8,95.0,348.6,2788.8,3.6695
2567,ก.ย.,9,95.0,355.5,2844.0,3.7421
2567,ต.ค.,10,95.0,463.6,3708.8,4.88
2567,พ.ย.,11,95.0,508.1,4064.8,5.3484
2567,ธ.ค.,12,95.0,1032.6,8260.8,10.8695
2568,ม.ค.,1,95.0,939.0,7512.0,9.8842
2568,ก.พ.,2,95.0,447.5,3580.0,4.7105
2568,มี.ค.,3,95.0,555.0,4440.0,5.8421
2568,เม.ย.,4,95.0,594.6,4756.8,6.2589
2568,พ.ค.,5,95.0,697.3,5578.4,7.34
2568,มิ.ย.,6,95.0,662.7,5301.6,6.9758
2568,ก.ค.,7,95.0,642.7,5141.6,6.7653
2568,ส.ค.,8,95.0,696.5,5572.0,7.3316
2568,ก.ย.,9,95.0,734.1,5872.8,7.7274
2568,ต.ค.,10,95.0,599.4,4795.2,6.3095
2568,พ.ย.,11,95.0,840.6,6724.8,8.8484
2568,ธ.ค.,12,95.0,928.1,7424.8,9.7695
